Brand,Model,Engine_Type,Transmission,Driven_Kms,Price_In_Lakhs,Location,State,is_BH_series,Car_Age,is_top_trim
Tata,NEXON,Petrol,Manual,40741,4.17,Delhi,Delhi,0,6,1
KIA,SONET,Petrol,Auto,32576,9.89,Delhi,Haryana,0,1,1
Maruti,Swift,Petrol,Manual,30191,4.47,Delhi,Uttar Pradesh,0,3,0
Maruti,Swift Dzire,Petrol,Manual,73257,1.99,Delhi,Delhi,0,11,0
Nissan,MAGNITE,Petrol,Manual,64663,3.76,Delhi,Haryana,0,4,0
Maruti,Ciaz,Petrol,Manual,91723,2.52,Delhi,Delhi,0,11,0
Volkswagen,Polo,Petrol,Manual,65779,4.49,Delhi,Haryana,0,6,1
Hyundai,Grand i10,Petrol,Manual,75006,3.5,Delhi,Haryana,0,6,1
Hyundai,Verna,Petrol,Manual,59603,3.15,Delhi,Haryana,0,10,0
Tata,ALTROZ,Petrol,Manual,13191,7.98,Delhi,Uttar Pradesh,0,1,0
KIA,SONET,Petrol,Manual,70770,6.37,Delhi,Haryana,0,2,0
Maruti,Baleno,Petrol,Manual,49249,4.92,Delhi,Delhi,0,4,0
Renault,Duster,Diesel,Manual,75991,4.0,Delhi,Haryana,0,6,0
Maruti,Baleno,Petrol,Manual,74384,3.6,Delhi,Delhi,0,8,0
Honda,Other,Petrol,Auto,91237,8.69,Delhi,Delhi,0,6,1
Hyundai,Creta,Petrol,Auto,80142,7.99,Delhi,Uttar Pradesh,0,5,1
Hyundai,VENUE,Petrol,Manual,22786,5.86,Delhi,Delhi,0,4,0
Maruti,Alto K10,Petrol,Manual,79284,1.45,Delhi,Haryana,0,9,0
Ford,Other,Petrol,Manual,56920,2.42,Delhi,Delhi,0,9,1
Hyundai,AURA,Petrol,Manual,30759,4.02,Delhi,Haryana,0,5,0
Maruti,Vitara Brezza,Petrol,Auto,53042,6.77,Delhi,Delhi,0,5,1
Toyota,Corolla Altis,Petrol,Manual,54725,5.01,Delhi,Haryana,0,9,0
Honda,Jazz,Petrol,Manual,90316,2.74,Delhi,Haryana,0,10,0
Skoda,KUSHAQ,Petrol,Manual,64116,6.83,Delhi,Delhi,0,3,0
Maruti,Baleno,Petrol,Manual,77176,3.66,Delhi,Haryana,0,8,0
Skoda,KUSHAQ,Petrol,Manual,47063,6.5,Delhi,Delhi,0,3,0
Renault,Kwid,Petrol,Manual,94786,2.0,Delhi,Haryana,0,5,0
Honda,City,CNG,Manual,103720,3.76,Delhi,Haryana,0,11,0
Hyundai,Other,CNG,Manual,21606,6.24,Delhi,Haryana,0,1,0
Honda,WR-V,Petrol,Manual,65875,3.8,Delhi,Haryana,0,7,0
Tata,PUNCH,Petrol,Auto,2644,6.39,Delhi,Delhi,0,0,1
Ford,Ecosport,Petrol,Auto,25056,6.62,Delhi,Haryana,0,4,1
KIA,SONET,Petrol,Manual,76349,5.46,Delhi,Delhi,0,5,1
Maruti,Ertiga,Petrol,Manual,81103,6.06,Delhi,Haryana,0,6,0
Other,Other,Diesel,Auto,68924,9.9,Delhi,Haryana,0,10,0
Tata,ALTROZ,Petrol,Manual,52416,4.08,Delhi,Delhi,0,5,0
Honda,Amaze,CNG,Manual,42525,3.98,Delhi,Haryana,0,6,0
Volkswagen,Polo,Petrol,Manual,58923,3.08,Delhi,Delhi,0,11,1
Hyundai,Eon,CNG,Manual,47892,1.73,Delhi,Delhi,0,9,0
Hyundai,Elite i20,Petrol,Manual,69056,4.05,Delhi,Uttar Pradesh,0,7,1
Maruti,Dzire,Petrol,Manual,61188,3.73,Delhi,Delhi,0,6,0
Ford,Ecosport,Petrol,Manual,57463,6.04,Delhi,Delhi,0,5,1
Hyundai,Other,Petrol,Manual,38444,11.99,Delhi,Haryana,0,4,1
Maruti,Dzire,Petrol,Manual,91119,3.83,Delhi,Delhi,0,7,1
Tata,PUNCH,Petrol,Manual,53687,4.09,Delhi,Delhi,0,3,0
Ford,Ecosport,Petrol,Manual,72113,2.81,Delhi,Haryana,0,9,0
Tata,Other,Petrol,Manual,77311,1.44,Delhi,Delhi,0,10,0
Hyundai,Grand i10,Petrol,Manual,36153,3.33,Delhi,Delhi,0,7,1
Ford,Ecosport,Diesel,Manual,26424,5.08,Delhi,Uttar Pradesh,0,7,1
Maruti,New Wagon-R,CNG,Manual,36085,3.93,Delhi,Delhi,0,5,0
Mahindra,XUV300,Diesel,Auto,81169,6.32,Delhi,Uttar Pradesh,0,6,1
Honda,City,Petrol,Manual,86668,3.56,Delhi,Delhi,0,9,0
Maruti,Dzire,Petrol,Manual,70875,3.9,Delhi,Haryana,0,6,0
Maruti,New Wagon-R,CNG,Manual,58161,3.83,Delhi,Haryana,0,4,0
Tata,Tiago,Petrol,Auto,48561,3.83,Delhi,Haryana,0,5,1
Renault,Kwid,Petrol,Manual,54988,2.69,Delhi,Haryana,0,3,0
Toyota,Innova Crysta,Petrol,Manual,92199,8.78,Delhi,Haryana,0,7,0
Hyundai,Creta,Petrol,Manual,37322,9.81,Delhi,Delhi,0,2,1
MG,HECTOR PLUS,Diesel,Manual,73319,8.3,Delhi,Uttar Pradesh,0,4,0
Maruti,Ertiga,CNG,Manual,18586,9.22,Delhi,Haryana,0,1,0
MG,HECTOR,Petrol,Auto,41633,8.77,Delhi,Delhi,0,5,1
Maruti,Swift,Petrol,Manual,48436,2.63,Delhi,Delhi,0,9,0
Toyota,Glanza,Petrol,Manual,35522,4.41,Delhi,Delhi,0,6,0
MG,HECTOR,Petrol,Auto,55082,8.84,Delhi,Haryana,0,4,1
Renault,Kwid,Petrol,Manual,62496,1.94,Delhi,Haryana,0,7,0
Nissan,Other,Petrol,Manual,118335,5.21,Delhi,Haryana,0,4,0
Tata,ALTROZ,Petrol,Manual,26661,4.67,Delhi,Delhi,0,4,0
Maruti,Swift,Petrol,Manual,94422,3.85,Delhi,Delhi,0,5,0
Hyundai,NEW I20,Petrol,Auto,23673,5.86,Delhi,Uttar Pradesh,0,4,1
Tata,NEXON,CNG,Manual,121688,3.96,Delhi,Delhi,0,6,0
Hyundai,Elite i20,Petrol,Manual,70081,3.39,Delhi,Haryana,0,8,1
Ford,Ecosport,Diesel,Manual,77151,3.57,Delhi,Uttar Pradesh,0,7,0
Maruti,Alto K10,Petrol,Manual,6308,3.46,Delhi,Haryana,0,0,0
KIA,SELTOS,Petrol,Manual,96978,6.58,Delhi,Delhi,0,5,1
Hyundai,Elite i20,Petrol,Manual,96941,2.96,Delhi,Delhi,0,10,0
Tata,Tiago,CNG,Manual,66495,2.87,Delhi,Delhi,0,9,0
Hyundai,Verna,Petrol,Manual,73291,5.04,Delhi,Delhi,0,8,0
Tata,NEXON,Petrol,Manual,19714,7.25,Delhi,Delhi,0,2,0
Hyundai,i10,Petrol,Manual,39867,1.95,Delhi,Delhi,0,9,0
Maruti,Swift,Petrol,Manual,38614,4.53,Delhi,Haryana,0,2,0
Maruti,S Cross,Petrol,Manual,47946,6.87,Delhi,Haryana,0,3,0
Honda,Amaze,Petrol,Manual,91353,1.64,Delhi,Delhi,0,11,0
Hyundai,Verna,Petrol,Manual,21950,6.52,Delhi,Delhi,0,6,0
Toyota,Other,Petrol,Manual,1840,8.41,Delhi,Haryana,0,1,0
Hyundai,Grand i10,Petrol,Manual,23090,2.89,Delhi,Haryana,0,8,1
Maruti,Ertiga,Petrol,Manual,118326,6.42,Delhi,Delhi,0,6,1
Nissan,MAGNITE,Petrol,Auto,9435,8.24,Delhi,Delhi,0,0,1
Hyundai,VENUE,Petrol,Manual,56321,5.59,Delhi,Haryana,0,5,0
Mahindra,Other,Petrol,Manual,64134,2.85,Delhi,Delhi,0,7,0
Maruti,Alto K10,Petrol,Manual,27800,1.77,Delhi,Uttar Pradesh,0,9,0
Maruti,Alto 800,CNG,Manual,45382,2.31,Delhi,Haryana,0,6,0
Honda,Amaze,Petrol,Auto,30347,4.95,Delhi,Delhi,0,6,1
Toyota,Glanza,Petrol,Manual,60441,5.42,Delhi,Haryana,0,2,0
Honda,City,Petrol,Manual,55331,2.94,Delhi,Delhi,0,10,0
Maruti,Ertiga,Petrol,Manual,93355,6.02,Delhi,Delhi,0,6,1
Honda,City,Petrol,Manual,91982,3.24,Delhi,Haryana,0,9,0
Hyundai,Other,Diesel,Auto,73803,11.34,Delhi,Haryana,0,3,1
Hyundai,Grand i10,Petrol,Manual,62191,2.42,Delhi,Haryana,0,8,0
Hyundai,Grand i10,Petrol,Manual,46747,3.64,Delhi,Haryana,0,7,1
Renault,Kwid,Petrol,Manual,43994,1.82,Delhi,Uttar Pradesh,0,7,0
Hyundai,Creta,Petrol,Manual,36922,5.68,Delhi,Haryana,0,8,1
Hyundai,Creta,Petrol,Manual,53145,6.77,Delhi,Delhi,0,7,0
Maruti,Ciaz,Petrol,Manual,35291,6.1,Delhi,Uttar Pradesh,0,3,0
Hyundai,VENUE,Petrol,Manual,59779,5.33,Delhi,Haryana,0,6,0
Maruti,Baleno,Petrol,Manual,92959,2.96,Delhi,Delhi,0,9,0
Hyundai,Elite i20,Petrol,Manual,54215,2.72,Delhi,Delhi,0,11,1
Renault,Kiger,Petrol,Auto,8350,5.96,Delhi,Uttar Pradesh,0,1,1
Toyota,Etios,CNG,Manual,64247,2.46,Delhi,Delhi,0,10,0
Tata,PUNCH,Petrol,Manual,31710,4.86,Delhi,Haryana,0,2,0
Maruti,Vitara Brezza,Petrol,Manual,82149,5.67,Delhi,Uttar Pradesh,0,4,1
Honda,Jazz,Petrol,Auto,51094,4.7,Delhi,Delhi,0,6,1
KIA,CARENS,Diesel,Auto,47522,12.06,Delhi,Uttar Pradesh,0,2,1
MG,HECTOR,Diesel,Manual,72238,8.32,Delhi,Uttar Pradesh,0,5,0
Hyundai,Grand i10,Petrol,Manual,65529,1.79,Delhi,Haryana,0,11,1
Volkswagen,Vento,Petrol,Auto,43250,4.36,Delhi,Uttar Pradesh,0,8,1
